Sigla Empresa,Nombre,Fecha,A¤o,N£mero de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tr fico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg),Tr fico (N/I) 2,Tipo Vuelo 2,Tipo Vuelo (Regular - No Regular),Mes
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PHX,SKY HARBORT INTERNATIONAL,ARIZONA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,293,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PIT,INTER PITTSBURGH,PITTSBURGH,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,15,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PIT,INTER PITTSBURGH,PITTSBURGH,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,20,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PNS,PENSACALA REGIONAL,PENSACOLA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,29,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PNS,PENSACALA REGIONAL,PENSACOLA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,18,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,POP,PUERTO PLATA,PUERTO PLATA,REPUBLICA DOMINICANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,POS,PIARCO,PUERTO ESPANA,TRINIDAD Y TOBAGO,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,8,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PSP,PALM SPRINGS INTERNATIO BUREAU,CALIFORNIA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PUJ,PUNTA CANA INTL,PUNTA CANA,REPUBLICA DOMINICANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PVR,PUERTO VALLARTA ORDAZ,PUERTO VALLARTA ORDAZ,PUERTO VALLARTA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,4,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,PWM,INTER IETPORT,PORTLAND,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RDU,"DURHAM, NC.",RALEIGH,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,54,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RDU,"DURHAM, NC.",RALEIGH,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,155,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,REC,GUARARAPES/PERMAMBUCO,RECIFE,BRASIL,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,18,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RIC,INTER RICHMOND,RICHMOND,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,30,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RIC,INTER RICHMOND,RICHMOND,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,41,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,RNO,RENO INTER,RENO,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,29,0,Internacional,Regular,Regular,marzo
